,负面情感词语（中文）,正面情感词语（中文）,中性情感词语（中文）
胡,1.0,0.0,0.0
头,0.0,1.0,0.0
恭顺,0.0,1.0,0.0
用心良苦,0.0,1.0,0.0
豺狼成性,1.0,0.0,0.0
愿,0.0,1.0,0.0
浮,1.0,0.0,0.0
殚,1.0,0.0,0.0
正经八百,0.0,1.0,0.0
抱恨,1.0,0.0,0.0
从头到底,0.0,1.0,0.0
过奖,0.0,1.0,0.0
颂赞,0.0,1.0,0.0
国泰民安,0.0,1.0,0.0
公祭,0.0,1.0,0.0
太平,0.0,1.0,0.0
客观上,0.0,1.0,0.0
干燥,1.0,0.0,0.0
嫣然,0.0,1.0,0.0
顾,0.0,1.0,0.0
吉祥如意,0.0,1.0,0.0
冒险,1.0,0.0,0.0
婷婷,0.0,1.0,0.0
令人满意,0.0,1.0,0.0
外面儿光,1.0,0.0,0.0
诘,1.0,0.0,0.0
浑朴,0.0,1.0,0.0
偷偷摸摸,1.0,0.0,0.0
胡子拉碴,1.0,0.0,0.0
万恶,1.0,0.0,0.0
悒悒不乐,1.0,0.0,0.0
高妙,0.0,1.0,0.0
颖慧,0.0,1.0,0.0
仰,0.0,1.0,0.0
忘我,0.0,1.0,0.0
曲曲折折,1.0,0.0,0.0
实际,0.0,1.0,0.0
死静,0.0,1.0,0.0
中用,0.0,1.0,0.0
漠然,1.0,0.0,0.0
紧要,0.0,1.0,0.0
粗壮,0.0,1.0,0.0
忏悔,1.0,0.0,0.0
狂恣,1.0,0.0,0.0
气昂昂,1.0,0.0,0.0
质量差,1.0,0.0,0.0
神往,0.0,1.0,0.0
金晃晃,0.0,1.0,0.0
逸乐,0.0,1.0,0.0
轻看,1.0,0.0,0.0
快,0.0,1.0,0.0
跋扈,1.0,0.0,0.0
佶屈聱牙,1.0,0.0,0.0
穷匮,1.0,0.0,0.0
凄凉,1.0,0.0,0.0
惊骇,1.0,0.0,0.0
概念化,1.0,0.0,0.0
扣人心弦,0.0,1.0,0.0
恍惚,1.0,0.0,0.0
绥,0.0,1.0,0.0
叩拜,0.0,1.0,0.0
弱势,1.0,0.0,0.0
骄气,1.0,0.0,0.0
伤脑筋,1.0,0.0,0.0
恨铁不成钢,1.0,0.0,0.0
不成功,1.0,0.0,0.0
看上眼,0.0,1.0,0.0
